id;Name;Sex;Typ;Partei;Herkunft;Alter;erster_Abschluss;zweiter_Abschluss;dritter_Abschluss;Uniabschluss;Praktiker;Fachrichtung;Historie_Bundesland;Typ_Einrichtung;Ranking;Zugehörigkeit;Land
149;Große_Kreisstadt_Metzingen;;1;;;;;;;;;;;3;1;1;1
150;Stadt_Pfullingen;;1;;;;;;;;;;;3;1;1;1
151;Landgericht_Freiburg;;1;;;;;;;;;;;4;1;1;2
152;Wirtschaftskanzlei_Rittershaus;;1;;;;;;;;;;;3;2;1;1
153;European_Studies_Program;;1;;;;;;;;;;;3;2;2;1
154;Landgericht_Waldshut-Tiengen;;1;;;;;;;;;;;3;2;1;1
155;Fachschule _für_Landwirtschaft_Biberach_an_der_Riß;;1;;;;;;;;;;;3;2;1;1
156;Grundwehrdienst_Großengstingen;;1;;;;;;;;;;;3;2;1;1
157;Transporthubschrauberregiment_Laupheim;;1;;;;;;;;;;;3;2;1;1
158;Schweinezuchtbetrieb_Rief;;1;;;;;;;;;;;3;2;2;1
159;Imkerei_Rief;;1;;;;;;;;;;;3;2;2;1
